ID,LamaPekerjaan,Pekerjaan,Pendapatan,Jumlah_Tanggungan,Riwayat_Kredit,JumlahPinjaman,Lama_Pinjaman,Label
66,22,Wiraswasta,14548000,2,Tidak Ada,2932000,11,Layak
67,47,Pelajar,1404000,4,Baik,2498000,47,Tidak Layak
68,38,Wiraswasta,1973000,1,Baik,13496000,54,Tidak Layak
69,27,Swasta,11527000,2,Tidak Ada,14470000,55,Layak
70,46,Pelajar,1339000,4,Buruk,8773000,37,Tidak Layak
71,35,Pelajar,2034000,3,Baik,4278000,28,Tidak Layak
72,60,Wiraswasta,13348000,3,Buruk,3779000,52,Tidak Layak
73,50,Swasta,11759000,1,Tidak Ada,2511000,31,Layak
74,38,Wiraswasta,11997000,4,Buruk,8750000,47,Tidak Layak
75,59,Swasta,6701000,5,Tidak Ada,4005000,32,Layak
76,24,Pelajar,1848000,1,Buruk,6724000,60,Tidak Layak
77,53,Wiraswasta,3140000,5,Buruk,6693000,35,Tidak Layak
78,56,Wiraswasta,14568000,1,Tidak Ada,18704000,38,Layak
79,26,Swasta,2563000,4,Buruk,2248000,50,Tidak Layak
80,22,Wiraswasta,11133000,4,Buruk,14487000,6,Tidak Layak
81,52,Pelajar,1569000,5,Baik,9218000,44,Tidak Layak
82,59,Wiraswasta,12906000,1,Baik,14634000,50,Layak
83,19,Swasta,8532000,1,Buruk,11122000,47,Tidak Layak
84,22,Wiraswasta,12789000,5,Buruk,6069000,54,Tidak Layak
85,19,PNS,3092000,1,Baik,17925000,42,Layak
86,30,PNS,7695000,4,Tidak Ada,19059000,51,Layak
87,45,PNS,3302000,2,Baik,10298000,37,Layak
88,24,Swasta,10471000,5,Tidak Ada,10919000,44,Layak
89,27,Swasta,8852000,5,Buruk,8526000,20,Tidak Layak
90,49,Swasta,13076000,5,Buruk,17283000,58,Tidak Layak
91,25,PNS,2880000,2,Tidak Ada,8999000,7,Tidak Layak
92,24,Swasta,2385000,2,Baik,11137000,44,Tidak Layak
93,51,Swasta,2038000,0,Tidak Ada,18175000,10,Tidak Layak
94,54,Pelajar,1165000,3,Tidak Ada,17559000,55,Tidak Layak
95,25,Wiraswasta,1510000,5,Baik,5902000,10,Tidak Layak
96,47,Wiraswasta,11545000,3,Baik,6393000,23,Layak
97,51,Swasta,13165000,3,Buruk,13731000,12,Tidak Layak
98,39,PNS,10446000,4,Buruk,9103000,42,Tidak Layak
99,46,Swasta,1339000,2,Baik,11409000,58,Tidak Layak
100,37,PNS,14488000,5,Buruk,6517000,44,Tidak Layak
